"id","dogFk","ownerFk"
"0","0","4"
"0","0","913"
"0","1","896"
"0","2","673"
"0","3","412"
"0","4","132"
"0","5","525"
"0","5","312"
"0","6","911"
"0","7","884"
"0","8","993"
"0","9","601"
"0","10","100"
"0","10","382"
"0","11","577"
"0","12","664"
"0","13","224"
"0","14","21"
"0","15","144"
"0","15","851"
"0","16","787"
"0","17","601"
"0","18","339"
"0","19","23"
"0","20","64"
"0","20","128"
"0","21","175"
"0","22","734"
"0","23","184"
"0","24","203"
"0","25","249"
"0","25","521"
"0","26","389"
"0","27","973"
"0","28","875"
"0","29","837"
"0","30","595"
"0","30","592"
"0","31","5"
"0","32","420"
"0","33","632"
"0","34","884"
"0","35","725"
"0","35","330"
"0","36","923"
"0","37","65"
"0","38","39"
"0","39","522"
"0","40","730"
"0","40","441"
"0","41","811"
"0","42","178"
"0","43","78"
"0","44","277"
"0","45","782"
"0","45","448"
"0","46","234"
"0","47","266"
"0","48","507"
"0","49","117"
"0","50","324"
"0","50","892"
"0","50","161"
"0","51","597"
"0","52","304"
"0","53","435"
"0","54","836"
"0","55","716"
"0","55","374"
"0","56","820"
"0","57","850"
"0","58","327"
"0","59","994"
"0","60","774"
"0","60","443"
"0","61","476"
"0","62","288"
"0","63","489"
"0","64","689"
"0","65","563"
"0","65","477"
"0","66","501"
"0","67","740"
"0","68","809"
"0","69","883"
"0","70","103"
"0","70","362"
"0","71","404"
"0","72","319"
"0","73","815"
"0","74","593"
"0","75","845"
"0","75","571"
"0","76","798"
"0","77","728"
"0","78","857"
"0","79","165"
"0","80","567"
"0","80","173"
"0","81","581"
"0","82","307"
"0","83","473"
"0","84","215"
"0","85","282"
"0","85","950"
"0","86","101"
"0","87","843"
"0","88","61"
"0","89","246"
"0","90","545"
"0","90","35"
"0","91","402"
"0","92","417"
"0","93","370"
"0","94","892"
"0","95","115"
"0","95","778"
"0","96","468"
"0","97","523"
"0","98","399"
"0","99","95"
"0","100","223"
"0","100","575"
"0","101","751"
"0","102","2"
"0","103","566"
"0","104","562"
"0","105","858"
"0","105","532"
"0","106","88"
"0","107","344"
"0","108","847"
"0","109","879"
"0","110","516"
"0","110","425"
"0","111","285"
"0","112","637"
"0","113","159"
"0","114","627"
"0","115","984"
"0","115","431"
"0","116","520"
"0","117","267"
"0","118","663"
"0","119","11"
"0","120","73"
"0","120","190"
"0","121","978"
"0","122","710"
"0","123","186"
"0","124","593"
"0","125","540"
"0","125","335"
"0","126","431"
"0","127","394"
"0","128","410"
"0","129","641"
"0","130","324"
"0","130","167"
"0","131","450"
"0","132","538"
"0","133","60"
"0","134","233"
"0","135","814"
"0","135","964"
"0","136","937"
"0","137","31"
"0","138","399"
"0","139","453"
"0","140","931"
"0","140","613"
"0","141","809"
"0","142","39"
"0","143","647"
"0","144","134"
"0","145","7"
"0","145","919"
"0","146","457"
"0","147","881"
"0","148","64"
"0","149","568"
"0","150","752"
"0","150","927"
"0","150","170"
"0","151","661"
"0","152","41"
"0","153","440"
"0","154","378"
"0","155","726"
"0","155","413"
"0","156","337"
"0","157","957"
"0","158","128"
"0","159","663"
"0","160","130"
"0","160","896"
"0","161","730"
"0","162","705"
"0","163","157"
"0","164","215"
"0","165","992"
"0","165","811"
"0","166","287"
"0","167","410"
"0","168","188"
"0","169","505"
"0","170","915"
"0","170","405"
"0","171","573"
"0","172","263"
"0","173","376"
"0","174","55"
"0","175","782"
"0","175","452"
"0","176","887"
"0","177","902"
"0","178","755"
"0","179","818"
"0","180","838"
"0","180","538"
"0","181","536"
"0","182","637"
"0","183","784"
"0","184","375"
"0","185","901"
"0","185","424"
