"id","name","breed","sex","shots","licensed","neutered","birthday","weight"
"0","Selina","Beagle","M","0","0","1","2007-09-16","28"
"0","Enos","Golden Retriever","F","0","1","1","2007-10-03","122"
"0","Lenora","Beagle","M","0","1","0","2008-05-06","51"
"0","Lucius","Pug","M","0","1","0","2004-10-22","32"
"0","Earnestine","Mastiff","F","1","0","1","2015-09-09","55"
"0","Jaydon","Doberman Pinscher","F","1","1","0","2013-11-21","66"
"0","Neil","Yorkshire Terriers","M","0","0","1","2000-02-07","95"
"0","Arlo","Afghan","F","0","0","1","2016-06-07","49"
"0","Lillian","Australian Shepherd","M","1","0","1","2004-07-08","53"
"0","Katharina","Pug","M","0","1","0","2000-02-22","117"
"0","Lauren","Alaskan Malamute","F","1","1","1","2004-09-25","64"
"0","Nellie","Great Dane","F","0","0","0","2001-05-20","37"
"0","Mason","Cavalier King Charles Spaniel","F","0","1","0","2017-12-01","131"
"0","Justen","Rottweiler","F","0","0","1","2006-12-25","105"
"0","Lamar","Shih Tzu","F","0","0","0","2017-05-01","28"
"0","Chanelle","Bulldog","F","0","0","0","2008-01-19","8"
"0","Tremaine","Australian Shepherd","F","0","0","0","2012-02-06","80"
"0","Edgar","Rottweiler","F","0","0","1","2004-11-10","49"
"0","Alicia","German Shepherd","F","1","1","1","2015-02-18","46"
"0","Toney","Boston Terrier","F","0","0","1","2009-01-20","125"
"0","Adelia","Beagle","F","0","1","0","2015-03-25","12"
"0","Jose","Great Dane","M","0","0","0","2013-10-05","122"
"0","Alda","Irish Wolfhound","F","0","1","1","2010-10-05","36"
"0","Margaret","Golden Retriever","F","0","1","0","2001-03-01","129"
"0","Bria","Alaskan Malamute","M","0","1","1","2001-10-04","59"
"0","Joanne","Shih Tzu","F","0","0","0","2016-12-25","25"
"0","Janice","Beagle","F","0","0","1","2006-04-02","23"
"0","Vilma","Doberman Pinscher","F","0","0","0","2000-09-08","51"
"0","Leilani","Shih Tzu","F","1","0","1","2003-08-12","108"
"0","Louvenia","Golden Retriever","F","0","1","0","2010-10-07","65"
"0","Laverna","Cavalier King Charles Spaniel","F","0","0","0","2007-09-02","33"
"0","Wilfrid","Australian Shepherd","M","0","0","0","2016-07-21","77"
"0","Marilie","Golden Retriever","F","0","1","0","2010-11-20","55"
"0","Brent","Yorkshire Terriers","F","1","1","1","2016-01-21","44"
"0","Alessandro","Irish Wolfhound","F","1","1","1","2005-08-17","107"
"0","Antonette","Labrador","M","1","1","1","2008-07-17","123"
"0","Reece","Golden Retriever","M","0","0","0","2014-02-09","23"
"0","Wilfrid","Beagle","F","0","0","0","2003-12-02","75"
"0","Aletha","Huskie","M","0","1","1","2004-05-06","101"
"0","Brent","Irish Wolfhound","F","0","1","0","2005-03-16","101"
"0","Alan","Beagle","F","0","0","0","2001-11-04","84"
"0","Lavonne","Dalmatian","F","1","1","0","2007-08-26","62"
"0","Shirley","Bernese Mountain Dog","M","0","1","0","2015-12-04","59"
"0","Santa","Dalmatian","M","0","1","0","2012-06-20","24"
"0","Lempi","Corgi","M","1","1","0","2012-02-09","54"
"0","Annie","Cavalier King Charles Spaniel","F","1","0","0","2016-02-08","119"
"0","Theodora","Bernese Mountain Dog","M","0","1","1","2000-01-16","132"
"0","Harold","Beagle","F","1","1","0","2011-06-02","41"
"0","Pat","Irish Wolfhound","F","1","1","1","2016-09-17","45"
"0","Adrian","Golden Retriever","F","1","0","1","2014-05-26","116"
"0","Simone","Dachshunds","M","0","0","1","2015-08-09","67"
"0","Kaley","Australian Shepherd","M","0","1","1","2007-06-23","15"
"0","Beaulah","Cavalier King Charles Spaniel","M","0","0","0","2016-10-09","62"
"0","Kasandra","Bernese Mountain Dog","M","1","1","1","2001-06-02","104"
"0","Henderson","Poodle","M","0","1","1","2010-10-18","34"
"0","Imani","Rottweiler","M","0","1","0","2003-08-06","8"
"0","Benjamin","Boston Terrier","M","1","1","0","2010-07-14","27"
"0","Alaina","Corgi","F","0","1","1","2014-09-19","89"
"0","Kim","Corgi","F","1","1","1","2000-05-09","89"
"0","Dennis","Dalmatian","M","1","0","0","2014-11-03","61"
"0","Major","Dalmatian","M","1","1","0","2014-09-11","32"
"0","Verla","Labrador","F","1","1","0","2009-05-03","106"
"0","Aiyana","Alaskan Malamute","F","0","1","1","2010-08-28","52"
"0","Rosario","Afghan","M","1","0","0","2015-09-08","66"
"0","Anita","Irish Wolfhound","M","0","0","0","2010-06-23","134"
"0","Annabel","German Shepherd","M","0","1","0","2011-12-23","80"
