"id","name","species","sex","neutered","birthday"
"0","Rozella","Goat","M","1","2011-08-14"
"0","Haylee","Hedgehog","M","1","2001-01-07"
"0","Dalton","Siberian","M","0","2015-10-27"
"0","Makenna","Buffalo","F","1","2000-06-20"
"0","Nyah","Turtle","M","1","2001-08-07"
"0","Lue","Goldfish","M","1","2012-08-27"
"0","Mercedes","Rat","F","0","2007-05-22"
"0","Tavares","Siberian","F","1","2012-06-20"
"0","Kirsten","Bearded Dragon Lizard","F","1","2002-04-01"
"0","Okey","Chinchilla","F","1","2000-09-08"
"0","Kole","Siberian","F","0","2008-09-11"
"0","Howell","Sugar Glider","F","1","2000-07-07"
"0","Darrick","African Gray Parrot","M","0","2010-10-01"
"0","Laverne","Llama","M","1","2001-12-03"
"0","Rigoberto","Pig","M","1","2014-06-04"
"0","Khalil","Puma","M","0","2012-07-08"
"0","Lonny","Snow Owl","M","0","2007-03-21"
"0","Graciela","Bearded Dragon Lizard","M","1","2006-10-13"
"0","Dee","Alligator","F","0","2002-06-26"
"0","Grover","Python","F","1","2015-03-28"
"0","Edna","Buffalo","M","1","2017-08-17"
"0","Hardy","African Gray Parrot","F","0","2009-01-09"
"0","Janelle","Siberian","F","0","2017-01-14"
"0","Lesley","Snow Owl","F","0","2013-07-19"
"0","Mayra","Snow Owl","F","1","2000-03-26"
"0","Irwin","Hedgehog","F","1","2003-09-21"
"0","Rossie","Tarantula","M","0","2007-03-17"
"0","Jarrod","Sugar Glider","M","1","2010-12-04"
"0","Winifred","Pig","F","0","2008-12-18"
"0","Savion","Puma","F","0","2001-05-09"
"0","Aubree","Axolotl","F","0","2011-03-09"
"0","Fausto","Goat","M","1","2012-12-02"
"0","Jadyn","Alligator","M","1","2004-08-24"
"0","Hans","Alligator","M","1","2013-06-21"
"0","Nayeli","Puma","M","0","2008-03-28"
"0","Britney","Cow","F","1","2010-02-11"
"0","Lucile","Goldfish","F","1","2003-06-07"
"0","Verona","Turtle","F","0","2009-02-03"
"0","Minnie","Axolotl","M","0","2005-11-04"
"0","Tyree","Capybara","M","1","2009-01-12"
"0","Rachel","Axolotl","F","0","2001-08-08"
"0","Maxie","Snow Owl","M","0","2007-12-10"
"0","Ruthe","Chinchilla","M","0","2015-11-22"
"0","Beulah","Horse","M","0","2002-03-14"
"0","Gia","Hedgehog","F","1","2007-06-07"
"0","Katherine","Python","M","0","2009-12-15"
"0","Jovany","Horse","M","1","2013-04-21"
"0","Daniella","Pig","M","0","2000-09-10"
"0","Ericka","Mantis Shrimp","M","0","2007-12-20"
"0","Charlene","Puma","F","1","2009-12-22"
"0","Camilla","Buffalo","F","0","2006-03-16"
"0","Jillian","Sugar Glider","M","0","2014-07-12"
"0","Aurelio","Python","F","0","2004-05-06"
"0","Lea","Alligator","M","0","2012-07-23"
"0","Juvenal","Chimpanzee","M","0","2006-06-06"
"0","Benjamin","Cow","F","0","2006-08-25"
"0","Shyanne","Axolotl","F","0","2017-11-08"
"0","Cielo","Buffalo","F","0","2011-12-22"
"0","Vance","Fox","F","0","2016-05-28"
"0","Benny","Goldfish","M","0","2002-06-16"
"0","Onie","Fox","F","1","2014-05-09"
"0","River","Tarantula","F","0","2004-08-01"
"0","Angelina","Python","M","1","2004-05-21"
"0","Audreanne","Chimpanzee","M","0","2007-05-15"
"0","Lucius","Goat","M","0","2017-08-17"
"0","Jazlyn","Snow Owl","F","1","2009-06-13"
"0","Nathanael","Horse","F","0","2007-04-16"
"0","Wilhelm","Fox","F","0","2010-08-14"
"0","Zula","Horse","M","1","2011-02-20"
"0","Erik","Pig","M","1","2015-05-17"
"0","Schuyler","Python","M","1","2008-05-27"
"0","Ernie","Hedgehog","M","0","2015-05-25"
"0","Monty","Python","M","1","2014-10-22"
"0","Ida","Axolotl","F","0","2003-02-12"
"0","Reinhold","Capybara","M","1","2007-09-19"
